,Latitude,Longitude
"Abilene, TX",32,-99
"Akron, OH",41,-81
"Albany, NY",42,-73
"Albuquerque, NM",35,-106
"Alert, NT",82,-62
"Allentown, PA",40,-75
"Amarillo, TX",35,-101
"Anchorage, AK",61,-149
"Ann Arbor, MI",42,-83
"Asheville, NC",35,-82
"Ashland, KY",38,-82
"Atlanta, GA",33,-84
"Atlantic City, NJ",39,-74
"Augusta, GA",33,-81
"Augusta, ME",44,-69
"Austin, TX",30,-97
"Bakersfield, CA",35,-119
"Baltimore, MD",39,-76
"Bangor, ME",44,-68
"Baton Rouge, LA",30,-91
"Battle Creek, MI",42,-85
"Bay City, MI",43,-83
"Beaumont, TX",30,-94
"Belleville, ON",44,-77
"Bellingham, WA",48,-122
"Berkeley, CA",37,-122
"Billings, MT",45,-108
"Biloxi, MS",30,-88
"Binghamtom, NY",42,-75
"Birmingham, AL",33,-86
"Bismarck, ND",46,-100
"Bloomington, IL",40,-88
"Boise, ID",43,-116
"Boston, MA",42,-71
"Bowling Green, KY",36,-86
"Brandon, MB",49,-99
"Brantford, ON",43,-80
"Brattleboro, VT",42,-72
"Bridgeport, CT",41,-73
"Brockton, MA",42,-71
"Buffalo, NY",42,-78
"Burlington, ONT",43,-79
"Burlington, VT",44,-73
"Butte, MT",46,-112
"Calgary, AB",51,-114
"Cambridge, MA",42,-71
"Canton, OH",40,-81
"Carson City, NV",39,-119
"Cedar Rapids, IA",42,-91
"Central Islip, NY",40,-73
"Champaign, IL",40,-88
"Charleston, SC",32,-79
"Charleston, WV",38,-81
"Charlotte, NC",35,-80
"Charlottetown, PE",46,-63
"Chattanooga, TN",35,-85
"Cheyenne, WY",41,-104
"Chicago, IL",41,-87
"Churchill, MB",58,-94
"Cincinnati, OH",39,-84
"Cleveland, OH",41,-81
"Colorado Springs, CO",38,-104
"Columbia, MO",38,-92
"Columbia, SC",34,-81
"Columbus, GA",32,-84
"Columbus, OH",39,-82
"Concord, NH",43,-71
"Corpus Christi, TX",27,-97
"Dallas, TX",32,-96
"Dawson, YT",64,-139
"Dayton, OH",39,-84
"Daytona Beach, FL",29,-81
"Decatur, IL",39,-88
"Denver, CO",39,-104
"Des Moines, IA",41,-93
"Detroit, MI",42,-83
"Dodge City, KS",37,-100
"Dubuque, IA",42,-90
"Duluth, MN",46,-92
"Durham, NC",35,-78
"Eau Claire, WI",44,-91
"Edmonton, AB",53,-113
"Elizabeth, NJ",40,-74
"El Paso, TX",31,-106
"Enid, OK",36,-97
"Erie, PA",42,-80
"Eugene, OR",44,-123
"Eureka, CA",40,-124
"Evansville, IN",37,-87
"Fairbanks, AK",64,-147
"Fall River, MA",41,-71
"Fargo, ND",46,-96
"Flagstaff, AZ",35,-111
"Flint, MI",43,-83
"Ft Smith, AR",35,-94
"Ft Wayne, IN",41,-85
"Ft Worth, TX",32,-97
"Fredericton, NB",45,-66
"Fresno, CA",36,-119
"Gadsden, AL",34,-86
"Gainesville, FL",29,-82
"Gallup, NM",35,-108
"Galveston, TX",29,-94
"Gary, IN",41,-87
"Grand Junction, CO",39,-108
"Grand Rapids, MI",42,-85
"Great Falls, MT",47,-111
"Green Bay, WI",44,-88
"Greensboro, NC",36,-79
"Greenville, SC",34,-82
"Guelph, ON",43,-80
"Gulfport, MS",30,-89
"Halifax, NS",44,-63
"Hamilton, OH",39,-84
"Hamilton, ON",43,-79
"Harrisburg, PA",40,-76
"Hartford, CT",41,-72
"Helena, MT",46,-112
"Hilo, HI",19,-155
"Honolulu, HI",21,-157
"Houston, TX",29,-95
"Huntsville, AL",34,-86
"Indianapolis, IN",39,-86
"Iowa City, IA",41,-91
"Jackson, MI",42,-84
"Jackson, MS",32,-90
"Jacksonville, FL",30,-81
"Jersey City, NJ",40,-74
"Johnstown, PA",40,-76
"Joplin, MO",37,-94
"Juneau, AK",58,-134
"Kalamazoo, MI",42,-85
"Kansas City, KS",39,-94
"Kansas City, MO",39,-94
"Kenosha, WI",42,-87
"Key West, FL",24,-81
"Kingston, ON",44,-76
"Kitchener, ON",43,-80
"Knoxville, TN",35,-83
"Lafayette, IN",40,-86
"Lancaster, PA",40,-76
"Lansing, MI",42,-84
"Laredo, TX",27,-99
"Las Vegas, NV",36,-115
"Lawrence, MA",42,-71
"Lethbridge, AB",49,-112
"Lexington, KY",37,-84
"Lihue, HI",21,-159
"Lima, OH",40,-84
"Lincoln, NE",40,-96
"Little Rock, AR",34,-92
"London, ON",42,-81
"Los Angeles, CA",34,-118
"Louisville, KY",38,-85
"Lowell, MA",42,-71
"Lubbock, TX",33,-101
"Macon, GA",32,-83
"Madison, WI",43,-89
"Manchester, NH",42,-71
"Marshall, TX",32,-94
"Medicine Hat, AB",50,-110
"Memphis, TN",35,-90
"Meriden, CT",41,-72
"Miami, FL",25,-80
"Milwaukee, WI",43,-87
"Minneapolis, MN",44,-93
"Minot, ND",48,-101
"Mobile, AL",30,-88
"Moncton, NB",46,-64
"Montgomery, AL",32,-86
"Montpelier, VT",44,-72
"Montreal, QC",45,-73
"Moose Jaw, SK",50,-105
"Muncie, IN",40,-85
"Nashville, TN",36,-86
"Natchez, MS",31,-91
"Newark, NJ",40,-74
"New Britain,CT",41,-72
"New Haven, CT",41,-72
"New Orleans, LA",29,-90
"New York, NY",40,-74
"Niagara Falls, ON",43,-79
"Nome, AK",64,-165
"Norfolk, VA",36,-76
"North Bay, ON",46,-79
"Oakland, CA",37,-122
"Ogden, UT",41,-111
"Oklahoma City, OK",35,-97
"Omaha, NE",41,-95
"Orlando, FL",28,-81
"Ottawa, ON",45,-76
"Paducah, KY",37,-88
"Pasadena, CA",34,-118
"Paterson, NJ",40,-74
"Pensacola, FL",30,-87
"Peoria, IL",40,-89
"Peterborough, ON",44,-78
"Philadelphia, PA",39,-75
"Phoenix, AZ",33,-112
"Pierre, SD",44,-100
"Pittsburgh, PA",40,-79
"Pittsfield, MA",42,-73
"Pocatello, ID",42,-112
"Port Arthur, TX",29,-93
"Portland, ME",43,-70
"Portland, OR",45,-122
"Portsmouth, NH",43,-70
"Portsmouth, VA",36,-76
"Prince Rupert, BC",54,-130
"Providence, RI",41,-71
"Provo, UT",40,-111
"Pueblo, CO",38,-104
"Quebec City, QC",48,-71
"Racine, WI",42,-87
"Raleigh, NC",35,-78
"Rapid City, SD",44,-103
"Reading, PA",40,-75
"Regina, SK",50,-104
"Reno, NV",39,-119
"Richmond, VA",37,-77
"Roanoke, VA",37,-79
"Rochester, MN",44,-92
"Rochester, NY",43,-77
"Rockford, IL",42,-89
"Sacramento, CA",38,-121
"Saginaw, MI",43,-83
"Saint Catherines, ON",43,-79
"Saint Cloud, MN",45,-94
"Saint John, NB",45,-65
"Saint John's, NF",47,-52
"Saint Joseph, MO",39,-94
"Saint Louis, MO",38,-90
"Saint Paul, MN",44,-93
"Saint Petersburg, FL",27,-82
"Salem, OR",44,-123
"Salina, KS",38,-97
"Salt Lake City, UT",40,-111
"San Antonio, TX",29,-98
"San Bernardino, CA",34,-117
"San Diego, CA",32,-117
"San Francisco, CA",37,-122
"San Jose, CA",37,-121
"San Juan, PR",18,-66
"Santa Barbara, CA",34,-119
"Santa Cruz, CA",36,-122
"Santa Fe, NM",35,-105
"Sarasota, FL",27,-82
"Saskatoon, SK",52,-106
"Sault Ste Marie, ON",46,-84
"Savannah, GA",32,-81
"Schenectady, NY",42,-73
"Seattle, WA",47,-122
"Sheboygan, WI",43,-87
"Sherbrooke, QC",45,-71
"Sheridan, WY",44,-106
"Shreveport, LA",32,-93
"Sioux City, IA",42,-96
"Sioux Falls, SD",43,-96
"South Bend, IN",41,-86
"Spartanburg, NC",34,-81
"Spokane, WA",47,-117
"Springfield, IL",39,-89
"Springfield, MA",42,-72
"Springfield, MO",37,-93
"Springfield, OH",39,-83
"Stamford, CT",41,-73
"Steubenville, OH",40,-80
"Stockton, CA",37,-121
"Sudbury, ON",46,-80
"Superior, WI",46,-92
"Syndey, NS",46,-60
"Syracuse, NY",43,-76
"Tacoma, WA",47,-122
"Tallahassee, FL",30,-84
"Tampa, FL",27,-82
"Terre Haute, IN",39,-87
"Texarkana, TX",33,-94
"Thunder Bay, ON",48,-89
"Timmins, ON",48,-81
"Toledo, OH",41,-83
"Topeka, KS",39,-95
"Toronto, ON",43,-79
"Trenton, NJ",40,-74
"Trois-Rivieres, QC",46,-72
"Troy, NY",42,-73
"Tucson, AZ",32,-110
"Tulsa, OK",36,-95
"Urbana, IL",40,-88
"Utica, NY",43,-75
"Vancouver, BC",49,-123
"Victoria, BC",48,-123
"Waco, TX",31,-97
"Walla Walla, WA",46,-118
"Washington, DC",38,-77
"Waterloo, IA",42,-92
"West Palm Beach, FL",26,-80
"Wheeling, WV",40,-80
"Whitehorse, YK",60,-135
"White Plains, NY",41,-73
"Wichita, KS",37,-97
"Wilkes-Barre, PA",41,-75
"Wilmington, DE",39,-75
"Wilmington, NC",34,-77
"Windsor, ON",42,-82
"Winnipeg, MB",49,-97
"Winston-Salem, NC",36,-80
"Worcester, MA",42,-71
"Yakima, WA",46,-120
"Yellowknife, NT",62,-114
"Youngstown, OH",41,-80
"Yuma, AZ",32,-114
"Zanesville, OH",39,-82
